TITLE,LIKES,SHARES
Cambodia is set to receive $965 million in financing from the Asian Development Bank (ADB) to promote development in priority areas and create programs that seek to rehabilitate and spur economic growth.,6,0
"The Ministry of Health on May 31 reported zero new Covid-19 cases, with three more recoveries and no new deaths.",7,0
"A new food safety law is of vital importance to protect public health and safety as it will ensure quality food and good hygiene and also aid in reducing occurrences of various diseases, government officials said.",23,3
"The Kampong Cham Provincial Election Commission on May 28 imposed a fine of five million riel ($1,250) on Kong Raiya – Candlelight Party representative for Sdao commune of Kang Meas district – for using inappropriate language which breached articles 171 and 181 of the law on commune council elections.",7,0
Japanese singer and actress Yoko Minamino’s original song “Rainbow for Tomorrow” has been delivered to Cambodia as a gesture of friendship in a handover ceremony between senior diplomats of the two countries.,25,2
"The General Department of Taxation (GDT) under the Ministry of Economy and Finance will start collecting vehicle road taxes for 2022 from the beginning of June until the end of November, with enforcement and fines for non-payment set to begin from January 1, 2023.",58,18
"The General Department of Taxation (GDT) under the Ministry of Economy and Finance will start collecting vehicle road taxes for 2022 from the beginning of June until the end of November, with enforcement and fines for non-payment set to begin from January 1, 2023.",0,1
"A new international Kun Khmer boxing event called World Fight Tournaments 2022 (WF) will be organised on Cambodian soil for the first time in July, with many top boxers from around the world expected to join the combat.",102,14
"This year’s rainy season rice planting is going slower than last year’s as some areas received too much rainfall at the beginning of the season, which flooded the paddy fields and made it impossible for farmers to plough them.",35,10
FIFA World Cup Trophy arrives in Phnom Penh on world tour in June,23,2
"The problems of a lack of access to clean water and sanitation was one of the leading causes of stunting and wasting in children under five years old, which had led to the government and relevant organisations setting 2023 goals of reducing the two categories",6,0
Phnom Penh Crown Football Club fulfilled their own high expectations after the team – who are mourning the death of club president Rithy Samnang – showed their unity to beat Visakha 2-1 and become champions of the 2022 Cambodian League Cup on May 28.,12,0
"NEC has received about 160,000 applications – including more than 70,000 from organisations, over 70 from associations, more than 80,000 from 17 political parties, and special guests from three institutions – to observe the June 5 commune council elections.",7,0
"Japan International Cooperation Agency (JICA) and Sumitomo Mitsui Banking Corp’s (SMBC) Singapore Branch on May 27 penned a $135 million facility agreement with ACLEDA Bank Plc to funnel more loans into agriculture, according to the locally-owned lender.",66,19
"A total of 84 electric vehicles (EV) have been registered in Cambodia year-to-date, marking a more than nine-fold increase from just nine in the same period of 2021, according to the transport minister on May 27.",62,3
[Post Securities] SERC’s vital role in fight against money laundering and financing of terrorism,3,0
"Prominent Cambodian-based investors are joining forces to shed light on the Law on Trust and advertise the Kingdom’s investment environment, to make up for missed opportunities due to the Covid-19 pandemic as the local outbreak remains under control.",9,0
"As of May, there were 31,258 foreigners of 60 nationalities residing in Preah Sihanouk province, including 23,375 Chinese and 2,946 Vietnamese.",19,2
Local private tourism-oriented businesses are reportedly struggling to secure funds from a recently-launched $150 million co-financing scheme meant to bolster the industry still reeling from Covid-19 restrictions.,13,0
"Lao Prime Minister Phankham Viphavanh has urged the Laotian provinces of Champasak and Attapeu to cooperate with Cambodia’s Stung Treng, Ratanakkiri and Preah Vihear provinces to expand ties between the two countries.",11,0
Minister of Labour and Vocational Training Ith Samheng said the activities of the Swiss Agency for Development and Cooperation (SDC) in Cambodia over the past decade demonstrate its commitment and long-term partnership with the Kingdom.,10,0
"Prime Minister Hun Sen stated that as chair of ASEAN, Cambodia would continue to strengthen the bloc’s unity to counter the divisive influence of geopolitical rivalry.",2,1
"The media will remain a vital source of “accurate and timely” news on developments concerning the world’s largest trade pact for policymakers, think-tanks, businesspeople, investors and the general public.",25,3
"Foreign minister Prak Sokhonn, who also serves as the ASEAN special envoy on Myanmar, voiced optimism on May 27 that his second trip to the predominantly Buddhist country in June would produce positive outcomes and that he would be able to meet with a broader range of stakeholders in the ongoing crisis.",8,0
